Inventor Name,Patent IDs,CPC Classes
Nader Salessi,10012375; 10101930; 7020019; 7180777; 7376034; 7450436; 7619941; 7765339; 7822887; 7894288; 7903474; 7929354; 7958280; 8000153; 8159152; 8230690; 8464073; 8819335; 8838936; 8843700; 9021189; 9092321; 9250820; 9323304; 9336135; 9336313; 9338927; 9348760; 9772781; D640817; D676592,F21K; F21V; F21Y; G06F; G11C; H05K; Y02B; Y10T
James T. Woolaway,10425595; 12292053; 5563405; 5602511; 5717208; 5756999; 5925883; 6028309; 6133596; 6288387; 6344651; 6465798; 6958478; 7612799; 7749690; 7750301; 7851758; 7869919; 8080794; 8242445; 8384780; 8587637; 8659661; 8749635; 8817106; 8822922; 8946640; 9047745; 9052381; 9083897; 9615006; 9729802,B60R; F04D; G01J; G01S; G06K; G06T; G08B; H04N
Robert W. Spitzer,7584621; 7762766; 7798768; 8721278,
Xinpeng SHAN,12436564,G04B; G04C; G06F
Andrea PERI,8734647,
Andrey Maslenikow,3947908,
Todd Bublitz,6126048,
Klaus Starnberger,7362798,
Douglas M. Trinowski,11179767; 9890295,B22C; B22D; C08G; C08K; C08L; C09D; Y02P
Jeffrey Aaron Ecker,10657529; 10671984; 10679212; 10783234; 10862897; 10922673; 10929484; 11102180; 11127005; 11308467; 11348103; 11416857; 11544694; 11546345; 11562038; 11562354; 11620636; 11636472; 11657392; 11669820; 11895095; 11907925; 11921836; 12008553; 12008560; 12062044; 12277546; 12430629,G06F; G06K; G06Q; H04L; H04W
Randy Fraser Wagg,10994899,B65D
Weihong Wu,11469211; 11980844; 12161970; 12164335; 12217204; 8663373; 9533259; 9802180; D1084133; D973755,B01D; B01F; B01J; C01B; G06F; G06Q; H01L
Bruno Mattioni,10085515; 11083241; 11606993; 6918695; 8356425; 8997378; 9907352,A41D; A43B; B05D; B32B; D10B; Y10T
Lionel M. Cloutier,D333979,
Anna Gontar,12316725; 9072048,H04L; H04W
Eishi Ishimaru,11110912; 11247685; 11254353; 11376916; 11465460; 11472470; 11912351; 12151529; 9610973,B60G; B60W; B62D
Shigeyuki Kimura,10112003; 10195319; 10426886; 10518007; 11623033; 4256531; 4429583; 4652128; 5043231; 5476064; 5477805; 5524574; 5683504; 5700320; 5704974; 5904912; 6190519; 6464777; 6673330; 6710331; 6777656; 7186231; 7235807; 8273149; 9452254; 9669152; D1044823,A61M; B01D; B04B; C12N
Jacobus Cornelis Musters,8277407; 8834400,A61M
W. Robert Gelinas,4347788; 4643090; 5186103; 5327830; 5351616,
Raymel Alfonso Sallo,10863607,G03B; G08C; H04N; H05B
Genmao Chen,7663383,
Robert Vendt,10439276; 10854963; 5469662,B32B; H01Q
Alicia Cheng,11359797,F21S; F21V; F21Y; H05B; H05K
Rocco P. Viggiano,10723857,C08G; C08J
William Gene Newman,6284341; 6421914; 6438861; 6584680; 6708395; 7275300; 7311971; 7707710; 7770288; 8645096,
Andrej Hude,D347097; D349798,
Massimo Maglione,10732433; 11106054,B29D; G02C
Thomas Guillemette,10405550; 11566260,A01N; C12N
S̩bastien Chevallier,12307162; 12353851; 5960895,G05B; G06F; G06T
Maksym Zhukovskyi,10495624,A41D; B82Y; D06M; D21H; G01J; G01N
Sam W. Shih,6922928,
Yashraj Bhatnagar,10114265; 10126622; 10409130; 10444589; 10481458; 10571771; 10782583; 10795232; 10901286; 10955716; 11065845; 11106105; 11333948; 11426979; 11559970; 11740528; 11960189; 12025900; 12403676; 12496809; 6029602; 6450116; 7657390; 7659206; 7727782; 7775856; 8711465; 9158173; 9442339; 9454053; 9703167; 9897888; 9910336; 9958750; 9995985,B05D; B23K; B29C; B29L; B32B; C03B; C03C; C23C; E06B; G01B; G02B; G02F; H01B; H01R; Y02P; Y10T
Chen-Kuo Ku,6603275; 8830082,G08B; G09F
HYEONSEO CHO,11740738; 12333110,G06F; G09G
John R. Sybenga,4603952,
Steven Lemaire,11895674; 6234278,H04W
Hans Hirschberg,3950189,
Verne L. Severson,4220931; 4271403; 4491933; 5378067; 5384832; 5526916; 5921373; 6092057; 6125985; 6142283; 9727850; D276231,G06Q; G07F
Robert F. Fox,5462003; 5479871,
Chandrasekheran Kothandaraman,7323761,
Serge A. Bral,5935032,
William J. Stephan,6295938,
Yih-Feng Hwang,7707548; 8392883,
Stanley H. Appel,4699875; 4701407; 4923696; 5017375; 5851783,
Jean Steffan,8828972,A61K; C07F
Nori Takami,7923152,
Eriks Nukis,12254740,G07F
Benita Primus,D987409,
Brandon Solotoff,11324622; 11602451; 11760451; 11832659; 11839243; 11839564; 11839570; 11857449; 11918500; 11918504; 12004984; 12011071; 12064049; 12121463; 12144756; 12357490; 12403029; 8413266; 8668549; 8821210; 9504281; 9585424; 9894941; 9918499; 9943119,A41B; A41C; A41D; A45C; A47G; A61B; A61F; B63C; F25D
